age_approx,sun_exposure
55,0.27
30,0.1
30,0.1
40,0.17
25,0.07
25,0.07
30,0.1
30,0.1
35,0.13
35,0.13
30,0.1
35,0.13
35,0.13
55,0.27
50,0.23
30,0.1
30,0.1
25,0.07
55,0.27
30,0.1
45,0.2
35,0.13
35,0.13
60,0.3
30,0.1
45,0.2
30,0.1
70,0.37
40,0.17
60,0.3
40,0.17
50,0.23
20,0.03
30,0.1
70,0.37
50,0.23
30,0.1
55,0.27
40,0.17
25,0.07
40,0.17
40,0.17
40,0.17
30,0.1
35,0.13
35,0.13
40,0.17
45,0.2
40,0.17
30,0.1
55,0.27
45,0.2
35,0.13
15,0.0
25,0.07
85,0.47
20,0.03
50,0.23
55,0.27
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
25,0.07
65,0.34
35,0.13
45,0.2
15,0.0
45,0.2
30,0.1
25,0.07
25,0.07
5,0.0
20,0.03
45,0.2
30,0.1
10,0.0
35,0.13
55,0.27
55,0.27
30,0.1
15,0.0
10,0.0
10,0.0
65,0.34
20,0.03
50,0.23
15,0.0
25,0.07
45,0.2
45,0.2
50,0.23
80,0.44
30,0.1
35,0.13
75,0.4
65,0.34
30,0.1
25,0.07
30,0.1
65,0.34
45,0.2
30,0.1
70,0.37
55,0.27
35,0.13
30,0.1
30,0.1
25,0.07
45,0.2
20,0.03
35,0.13
70,0.37
40,0.17
30,0.1
50,0.23
20,0.03
25,0.07
75,0.4
60,0.3
20,0.03
10,0.0
30,0.1
70,0.37
60,0.3
5,0.0
35,0.13
25,0.07
60,0.3
65,0.34
40,0.17
70,0.37
25,0.07
35,0.13
35,0.13
20,0.03
35,0.13
50,0.23
75,0.4
30,0.1
60,0.3
60,0.3
65,0.34
70,0.37
45,0.2
10,0.0
30,0.1
25,0.07
25,0.07
25,0.07
25,0.07
30,0.1
35,0.13
45,0.2
30,0.1
30,0.1
20,0.03
45,0.2
30,0.1
20,0.03
45,0.2
30,0.1
20,0.03
60,0.3
45,0.2
50,0.23
55,0.27
30,0.1
35,0.13
40,0.17
25,0.07
50,0.23
20,0.03
60,0.3
30,0.1
30,0.1
30,0.1
15,0.0
35,0.13
25,0.07
15,0.0
55,0.27
30,0.1
50,0.23
50,0.23
25,0.07
,
,
,
,
50,0.23
35,0.13
,
,
,
,
,
,
,
,
35,0.13
,
50,0.23
40,0.17
30,0.1
50,0.23
30,0.1
75,0.4
35,0.13
25,0.07
30,0.1
30,0.1
40,0.17
15,0.0
30,0.1
30,0.1
65,0.34
30,0.1
40,0.17
40,0.17
15,0.0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
10,0.0
10,0.0
10,0.0
10,0.0
15,0.0
15,0.0
15,0.0
15,0.0
15,0.0
10,0.0
10,0.0
10,0.0
10,0.0
15,0.0
15,0.0
15,0.0
10,0.0
10,0.0
10,0.0
10,0.0
15,0.0
15,0.0
15,0.0
15,0.0
15,0.0
15,0.0
15,0.0
15,0.0
15,0.0
